Name,Owned By,Operated By,Location,Country,City,State,SF,SF Range,# of food stalls,Bars,Retail,Retail Type,Total Stalls,Stalls Per SF,CA To Stall,Seat Count,Reason to visit,Notes,Year Opened,Opening Date,In/Near ED,POS System,One Pager
The Local Market & Bar,,,The Exchange,USA,Salt Lake City,UT,"75,000",50K+,7,1,0,,8,#######,0.9998933,125,,,2022,2022,Yes,,Completed
Flagship City Food Hall,,,,USA,Erie,PA,"23,000",,8,0,0,,8,,,160,,Giftcards through Stripe (the company mentioned in Livly seems like you can utilize at the food hall & adjacent college),2021,2021,,Bbot powered by doordash,
Alton Food Hall,,,,USA,Miami,FL,"16,000",15K - 20K,18,,,,18,#######,0.998875,160,,"160+ seats, ghost kitchen with some seating",2022,Apr-22,,,Completed
Southern Feed Store,,,,USA,Atlanta,GA,"11,256",,6,1,0,,,,,171,,"Live music nightly, but small",2022,2022,,,One Pager needed
Le Fantome,Cafritz Enterprise,Hospitality HQ,,USA,Riverdale Park,MD,"8,500",5K-10K,9,1,,,10,#######,0.9988235,175,,Curation & management of food hall vendors & ghost kitchen,2022,2022,,,Completed
Citizen Public Market,The Now,,,USA,Culver City,CA,"7,500",,6,1,,,7,,,200,,,2020,2020,,,Completed
Urban Hawker,KF Seetoch,,Midtown,USA,Manhattan,NY,"11,000",10K - 15K,16,1,,,17,#######,0.9984545,200,,,2022,2022,,,Completed
Old North State Food Hall,Adventure Development,Hospitality HQ,,USA,Selma,NC,"12,000",10K - 15K,10,1,0,,11,#######,0.9990833,200,,"Colicchio consulting group & research by Cushman, interesting",2022,2022,,,Completed
Chancery Market Food Hall,1313 Market LLC,Hospitality HQ,,USA,Willington,DE,"12,000",10K - 15K,11,1,,,12,#######,0.999,223,,"Created by chef Akhtar Nawab - he/his company will oversee all management & ops from design to culinary development, to logistics, marketing, ect (ex - link for vendor sign up https://www.thechancerymarket.com/)",2022,Fall 2022,,,Completed
Marble City Market,Regas Property,Hospitality HQ,,USA,Knoxville,TN,"15,000",10K - 15K,11,1,,,12,#######,0.9992,290,,Hospitality HQ Operated,2021,Opened in 2021,,,Completed
Sundry Food Hall,,,,USA,Las Vegas,NV,"18,000",15k - 20k,15,0,0,,15,,,350,,Includes 2 full service resturants,,,,,
The Amp Food Hall,16 Tech,,,USA,Indianapolis,IN,"40,000",40k - 50k,18,1,1,,20,,,350,,,2021,2021,Yes,,Completed
The Joinery,,,,USA,Lakeland,FL,"12,000",10K - 15K,7,1,1,,19,#######,0.9984167,350,,,2020,2020,,,Completed
Inner Rail Food Hall,,,,USA,Omaha,NE,"7,000",5k -10k,10,,,,10,,,350,,Bree reccomendation from MFH article - 1 seamless contact,2019,October 2019,,,Needed
Savorhood,,,,USA,Gettysburg,PA,"14,000",,10,1,,,11,,,450,,,2023,2023,,,
"Love, Makoto",,,,USA,Washington,DC,"20,000",,2,1,,,3,,,462,,"All asian food, upscale interior higher level than Stix",2023,,,,
Lexington Market,,,,USA,Baltimore,MD,"63,536",50k+,54,,3,"Butcher, toy store, soap",54,,,488,,,1919/2022,Open - some are still avalible for move in,,,Completed
Olly Olly Market,RxR Realty,,,USA,New York,NY,"17,000",15K - 20K,11,2,,,13,#######,0.9992353,500,,,2022,October 2022,,,Completed
Union Station Food Hall,,,,USA,Providence,RI,"17,000",,13,2,2,,17,,,550,,,2021,2024,,,
Revival Food Hall,,,Loop,USA,Chicago,IL,"24,000",21K - 25K,15,,1,Books & Record Store,15,#######,0.999375,550,,,2016,,,,Completed
